Gene Symbol,log2 fold-change Start vs. end ,pseudotime 0, pseudotime 1 on SC-beta branch,pseudotime 1 on SC-EC branch,log2 fold-change SC-beta vs. SC-EC,log likelihood of GLM model with pseudotime and branching,"log likelihood of GLM model with pseudotime, but no branching",log likelihood of GLM model without pseudotime or branching,(Pseudotime vs. Reduced) FDR corrected q-value from likelihood ratio test,(Branched vs. Pseudotime) FDR corrected q-value from likelihood ratio test
TMEM163,1.385521818,0.200812561,1.503369178,0.204813377,-2.809035929,-9433.220885,-9330.101461,-9433.220885,9.93014E-14,1.37602E-41
BNIP3,4.380882832,0.426800883,6.738370487,15.44454066,1.11734463,-43179.64058,-43076.63353,-43179.64058,2.4941E-299,1.52983E-41
HIF1A,1.801682306,1.057883066,1.623500919,5.104116182,1.554527095,-29726.96114,-29624.31005,-29726.96114,2.2574E-144,2.16491E-41
CHODL,2.706536987,0.1,1.231530055,0.226863323,-2.402601969,-6382.129392,-6279.592876,-6382.129392,3.7842E-256,2.41229E-41
CCDC50,1.278172481,0.619848404,0.693365698,2.031318135,1.541395641,-24929.38087,-24827.9159,-24929.38087,2.4816E-150,6.93422E-41
SCG2,6.982115447,0.1,7.867564405,18.4515116,1.085443441,-43165.55987,-43064.27841,-43165.55987,2.4941E-299,8.27278E-41
TPI1,1.868119484,3.083324716,7.202212527,15.45886134,1.029328188,-50087.19392,-49986.03293,-50087.19392,2.4941E-299,9.2726E-41
NR0B1,3.749618417,0.1,0.262679809,2.275425118,2.971547302,-10196.86028,-10095.75681,-10196.86028,4.0237E-262,9.76545E-41
NEUROD4,3.868754401,0.1,0.1,3.717515385,4.68842138,-3012.416288,-2911.414881,-3012.416288,1.4889E-182,1.07485E-40
NELL2,0,0.1,0.1,0.118167612,0.468442827,-7463.568235,-7363.614468,-7463.568235,4.8588E-191,3.01738E-40
LDLRAP1,4.905053703,0.1,2.36582846,3.715155319,0.681492837,-27858.66076,-27758.84972,-27858.66076,2.4941E-299,3.4577E-40
P4HB,1.297570324,1.980213782,7.306494815,3.902577847,-0.874764336,-42378.42932,-42278.63123,-42378.42932,2.4941E-299,3.48466E-40
B2M,0.038336871,3.084066223,1.311604927,3.34349951,1.347024983,-31170.21548,-31070.85173,-31170.21548,2.4941E-299,5.32999E-40
QDPR,3.62843365,0.364171788,3.299132647,7.027602232,1.063016927,-40864.10499,-40764.92632,-40864.10499,2.4941E-299,6.36982E-40
PPP1R17,3.152355621,0.1,0.141164104,1.600382422,3.378234923,-5638.644905,-5539.894108,-5638.644905,1.1975E-142,9.68114E-40
MAFB,7.881013868,0.1,33.41223339,18.83258372,-0.766911968,-54494.71764,-54396.14728,-54494.71764,2.4941E-299,1.15173E-39
MYDGF,1.309446321,0.983028859,6.031814621,1.240025492,-2.194966256,-27101.97106,-27003.69217,-27101.97106,3.46154E-86,1.52937E-39
CDKN1A,3.039894273,0.1,0.118103827,1.299265882,3.364212221,-5293.991943,-5196.13864,-5293.991943,3.2604E-116,2.31923E-39
PEG10,1.845471217,0.558463047,0.996377041,3.128909646,1.564591207,-33513.27044,-33415.56364,-33513.27044,2.4941E-299,2.66809E-39
G6PC2,3.669713506,0.1,3.804809083,0.1,-4.852391004,-1772.27428,-1675.65258,-1772.27428,6.3434E-196,7.77213E-39
LCOR,1.647620628,1.985826547,3.969270253,8.893402504,1.10719736,-43576.27306,-43479.84968,-43576.27306,2.4941E-299,9.41198E-39
FBXW7,1.810631902,0.39502759,0.374622414,1.850481184,2.238537086,-13753.62925,-13657.6313,-13753.62925,1.0873E-105,1.42709E-38
ADH6,3.718852619,0.1,0.1,2.556595381,4.203774377,-2473.516963,-2377.571353,-2473.516963,3.6277E-136,1.49577E-38
RBM47,0.640507975,0.494436929,1.477663793,0.493021765,-1.589465317,-17863.92857,-17768.23531,-17863.92857,1.23895E-44,1.91097E-38
B3GALT1,1.213809443,0.110767199,0.941044501,0.132795757,-2.815317048,-7469.979833,-7374.353342,-7469.979833,7.5631E-06,2.03184E-38
TENM2,1.572530925,0.1,0.773296703,0.1,-2.915868178,-7124.225306,-7028.793838,-7124.225306,1.1103E-147,2.45276E-38
MANF,1.386425797,1.236414261,5.279261169,2.377452982,-1.10848081,-36838.10691,-36743.91934,-36838.10691,6.6315E-133,8.35973E-38
EPAS1,3.626544535,0.1,2.237744985,0.496306198,-2.199613941,-6767.980203,-6674.318428,-6767.980203,2.4941E-299,1.39991E-37
SH3BGRL3,0.818118784,1.364427094,1.275630469,2.824990451,1.128158687,-35522.41979,-35428.77007,-35522.41979,1.8933E-134,1.41012E-37
CD164,0.456459341,2.695033922,5.901935167,2.399164388,-1.246124538,-35183.19867,-35089.66052,-35183.19867,2.94132E-75,1.56742E-37
ZNF703,0.949840962,2.537946117,2.406657301,6.24650557,1.31879039,-37180.82843,-37087.31054,-37180.82843,7.6482E-280,1.59179E-37
FAM107B,-2.035414045,1.852346602,0.804313727,0.153928675,-2.187400245,-18940.6185,-18847.84609,-18940.6185,2.87032E-58,3.31287E-37
NEO1,-1.165407426,1.336602563,0.986776063,0.289006696,-1.725705761,-19364.04774,-19271.35896,-19364.04774,1.10794E-94,3.58221E-37
TMED10,-0.1853638,2.59703466,3.597256771,1.369992474,-1.344767008,-30623.82831,-30531.42552,-30623.82831,5.52868E-12,4.73201E-37
PCSK2,5.824214677,0.1,7.379781184,4.793653427,-0.658437118,-34187.81711,-34095.93573,-34187.81711,2.4941E-299,7.89025E-37
PKIA,1.8555286,0.361197324,0.459922207,2.088510628,2.102168448,-16114.04696,-16022.3678,-16114.04696,2.74527E-67,9.59418E-37
MIAT,6.211237195,0.1,9.760988731,5.478883045,-0.784210064,-40348.21219,-40256.78917,-40348.21219,2.4941E-299,1.23055E-36
TUNAR,2.360824007,0.1,1.415824102,0.1,-3.676395682,-4700.688563,-4609.552699,-4700.688563,1.21593E-26,1.62746E-36
CERS6,1.719181484,0.721928385,4.653565495,1.137817352,-1.95257168,-19874.46429,-19783.64903,-19874.46429,6.2414E-128,2.22484E-36
SEMA3C,-2.404182731,1.239338183,0.548063924,0.1,-2.298705344,-7187.191303,-7096.479782,-7187.191303,5.1082E-174,2.45434E-36
VCL,-0.37652404,1.637815135,2.021375167,0.622610901,-1.588341426,-25139.65843,-25050.06983,-25139.65843,7.04096E-13,7.41906E-36
POR,1.964810594,0.743837837,1.209969472,3.566813579,1.514092728,-24293.69879,-24204.27736,-24293.69879,1.2898E-252,8.71435E-36
MAGT1,0.23142634,0.695810936,1.707531406,0.39501779,-2.045788793,-15696.40494,-15607.61935,-15696.40494,1.8015E-09,1.62709E-35
FOXP1,0.602331865,1.841323677,4.0553658,2.140340987,-0.881572822,-40466.5848,-40377.92997,-40466.5848,1.27311E-96,1.84363E-35
MAPKAPK2,1.17863789,0.771277322,0.655979178,2.486191929,1.816637362,-22923.79166,-22835.31206,-22923.79166,1.99432E-28,2.18294E-35
APOOL,2.499371846,0.484447774,1.350648248,4.538320454,1.633739417,-27886.54756,-27798.99052,-27886.54756,2.2395E-215,5.41162E-35
KCNS3,2.145327762,0.135211237,0.1,0.788709132,3.070748129,-6474.480788,-6387.109554,-6474.480788,1.3566E-154,6.47504E-35
GPC6,-1.204737043,2.029886278,1.26439286,0.536895894,-1.258448428,-16032.31526,-15946.01406,-16032.31526,2.31566E-73,1.85696E-34
GAPDH,-0.200128105,17.42192319,9.262494208,16.70231481,0.799376919,-60510.19452,-60424.11961,-60510.19452,8.1356E-290,2.3126E-34
SSR4,1.034204517,1.238019444,4.725252026,1.848652041,-1.302640995,-35454.08434,-35368.04617,-35454.08434,4.79742E-80,2.38796E-34
FATE1,1.980306457,0.1,0.1,0.716436049,2.725766505,-2991.601928,-2905.610312,-2991.601928,8.17859E-85,2.48987E-34
MEST,-3.103897169,15.12135378,2.56937015,1.15576666,-1.140068194,-40409.97555,-40324.28847,-40409.97555,2.4941E-299,3.35032E-34
IMPA2,0.89780613,0.579915789,2.63586933,0.607510928,-2.061089032,-16085.15258,-15999.82581,-16085.15258,2.78728E-11,4.76363E-34
CCSER1,1.20105566,0.1,0.453103012,0.1,-2.266242716,-3427.0394,-3341.798072,-3427.0394,4.81825E-73,5.16176E-34
BCAR3,3.201043168,0.1,0.373619192,1.329799027,1.778571931,-17144.0748,-17059.66414,-17144.0748,2.4941E-299,1.16827E-33
PSD3,0.504203788,0.544181318,1.266992505,0.251567193,-2.216320735,-12982.64669,-12898.29853,-12982.64669,4.54503E-39,1.23757E-33
SPCS2,0.820868667,2.010133923,5.81543337,2.740906372,-1.040690042,-41300.6081,-41216.44764,-41300.6081,9.2809E-47,1.48369E-33
AP3B1,0.867200572,0.607502532,2.798594816,0.430785181,-2.566177425,-14121.88409,-14037.77936,-14121.88409,2.22402E-17,1.56126E-33
CHD7,0.291080745,1.548032233,3.602462114,1.394799935,-1.313682527,-38514.38217,-38431.17284,-38514.38217,2.4941E-299,3.76118E-33
LPAR6,-2.202653935,0.380011082,0.219367844,0.1,-1.047534371,-9072.424312,-8989.21759,-9072.424312,5.7978E-208,3.76118E-33
CKAP4,-2.417420895,4.608658769,1.313779821,0.444204308,-1.513286712,-24386.03416,-24302.99695,-24386.03416,2.4941E-299,4.429E-33
ANKS1B,2.038339676,0.319864157,0.644390368,1.972460314,1.592371456,-24066.02479,-23983.18409,-24066.02479,2.4941E-299,5.35645E-33
HPCA,1.312622769,0.1,0.645288645,0.1,-2.502323357,-3995.579008,-3912.806871,-3995.579008,1.06635E-74,5.70887E-33
LMX1A,3.390161179,0.1,0.281344201,1.629422405,2.447492631,-10833.20792,-10750.46741,-10833.20792,1.1027E-288,5.86653E-33
FNDC3A,0.880961262,0.740390126,2.961742414,0.785898296,-1.839627002,-21424.90462,-21342.29596,-21424.90462,6.19382E-11,6.6562E-33
ABHD15,1.891022476,0.1,0.703060365,0.143174546,-2.323132127,-5974.775556,-5892.262226,-5974.775556,3.03822E-70,7.28457E-33
SH3KBP1,3.090316574,0.268835419,5.037797422,0.599263526,-2.895167973,-11590.16988,-11507.77794,-11590.16988,7.3941E-191,8.18033E-33
SLC24A3,1.241355098,0.1,0.1,0.506549217,2.23541573,-5846.265633,-5764.200971,-5846.265633,9.92265E-16,1.12586E-32
STMN1,-0.457441139,16.43962857,9.763808727,13.87333766,0.50114946,-70836.89015,-70754.97914,-70836.89015,2.4941E-299,1.30528E-32
HMGB3,0.001186782,1.688500731,1.201882419,2.198759474,0.878875264,-42877.85889,-42796.21009,-42877.85889,2.4941E-299,1.68462E-32
HN1,0.36558817,4.276770771,4.413655539,6.335557292,0.530591196,-49040.38277,-48959.74954,-49040.38277,1.63442E-14,4.57615E-32
RPIA,1.680839513,0.463535251,3.627284583,0.335784629,-3.235036994,-11719.8193,-11640.2182,-11719.8193,3.04921E-42,1.26338E-31
ST3GAL6,0.348647912,0.190910205,0.668291637,0.19901849,-1.76611627,-11823.82557,-11744.64662,-11823.82557,1.14649E-30,1.90945E-31
ELP4,2.085394478,0.104429225,1.170121761,0.219337826,-2.346109769,-11342.44605,-11263.39132,-11342.44605,1.55617E-51,2.15038E-31
NTRK3,0.144518649,0.1,0.1,0.285403047,1.123858455,-3222.443156,-3143.608706,-3222.443156,1.52015E-68,2.66266E-31
CDK5R2,4.67752457,0.1,1.231665274,3.397000035,1.440628283,-20599.97855,-20521.20295,-20599.97855,2.4941E-299,2.81123E-31
ASB9,2.493676252,0.1,2.128738108,0.1,-4.151277733,-1985.14758,-1906.48802,-1985.14758,6.25208E-74,3.14052E-31
GULP1,1.782883678,0.29877697,0.32538397,1.384707972,2.03164797,-14051.05289,-13972.41895,-14051.05289,1.76622E-54,3.20876E-31
RPL3,-1.027586488,32.89799727,19.18265118,13.87407058,-0.469046359,-68087.23073,-68008.72515,-68087.23073,2.4941E-299,3.62863E-31
PKD2,0.910269136,0.875668269,2.94755451,0.773910409,-1.848019536,-18633.61399,-18555.13759,-18633.61399,3.37762E-26,3.72068E-31
TMEM176A,6.202803503,0.1,5.47299563,10.40344648,0.855075066,-41106.71371,-41028.32185,-41106.71371,2.4941E-299,4.02944E-31
GCNT1,-0.095409162,1.045793539,1.60277575,0.749090543,-1.013645465,-30306.0169,-30227.64637,-30306.0169,1.3544E-159,4.09988E-31
FAM20A,-2.063932914,0.364774659,0.177485281,0.1,-0.815974719,-3947.477249,-3869.462981,-3947.477249,5.03842E-30,5.80656E-31
TMEM132A,0.78659561,1.345055114,4.190483427,1.224682932,-1.694953037,-24966.04322,-24888.21551,-24966.04322,6.68332E-25,6.95509E-31
TMSB10,-1.754828583,22.54805337,4.084541319,6.780942601,0.735399519,-60692.8903,-60615.18716,-60692.8903,2.4941E-299,7.8363E-31
MAPRE2,0.678237307,1.127917903,3.28200731,1.014398364,-1.629377908,-23574.35949,-23496.76587,-23574.35949,2.10268E-11,8.69899E-31
IRX2,4.15750359,0.1,2.448405478,1.263717796,-0.945907364,-22289.81806,-22212.31524,-22289.81806,2.4941E-299,9.47994E-31
TSHZ1,2.569771169,0.405259236,2.327302199,1.068726698,-1.009192341,-23643.0751,-23565.80075,-23643.0751,2.4941E-299,1.18353E-30
SOX4,-0.878909718,9.866028087,4.870580497,7.139705153,0.519968042,-68339.10789,-68261.86191,-68339.10789,2.4941E-299,1.21271E-30
PBX3,-0.607434512,0.862108424,1.066867129,0.255089623,-1.964471432,-14901.50922,-14824.35235,-14901.50922,1.018E-06,1.31943E-30
NFKBIZ,1.675975825,0.299786489,0.1,1.529304346,3.797795953,-6436.697357,-6360.083428,-6436.697357,8.3019E-87,2.24691E-30
KIF19,4.193733991,0.1,1.285570607,2.568648749,0.925805494,-19297.25841,-19220.99872,-19297.25841,2.4941E-299,3.17599E-30
GCK,4.494121007,0.1,5.147790991,0.980641072,-2.302030357,-14865.98535,-14790.40992,-14865.98535,2.0292E-278,6.21766E-30
GDF6,3.372246771,0.1,0.1,1.554333243,3.843959454,-3566.735405,-3491.207139,-3566.735405,1.1606E-266,6.49063E-30
CALR,0.224831699,4.59806647,6.743048131,4.229214894,-0.641822823,-48332.02602,-48256.6367,-48332.02602,7.025E-139,7.41805E-30
LRP4,1.413863327,0.1,0.693459884,0.1,-2.679468359,-2592.970187,-2517.662393,-2592.970187,1.26859E-12,8.01111E-30
PLAGL1,0.825579668,0.31050321,1.250323235,0.174928707,-2.845399485,-6015.449051,-5940.252772,-6015.449051,3.46044E-26,8.91149E-30
SCN7A,1.934231309,0.1,0.995752305,0.1,-3.19178566,-3488.964961,-3414.034541,-3488.964961,1.80409E-19,1.15441E-29
RASGRP1,3.413418915,0.1,0.350214781,1.525533219,2.069735781,-15762.54398,-15687.67192,-15762.54398,2.4941E-299,1.21855E-29
SSR3,0.052160922,1.362340567,2.562043387,0.858262952,-1.496394192,-27013.42091,-26938.71896,-27013.42091,0.020039542,1.43625E-29
SOX1,1.527509316,0.1,0.500997552,0.163259626,-1.632471907,-13800.92478,-13726.48139,-13800.92478,2.4941E-299,1.84721E-29
GCA,0.989846261,1.230072041,2.013145667,3.36179626,0.690010831,-44375.73306,-44301.3408,-44375.73306,2.4941E-299,1.93606E-29
MXRA7,0.299254353,2.552045629,4.176613692,1.550924682,-1.322556844,-30514.69765,-30440.33801,-30514.69765,1.1969E-184,1.99247E-29
NETO1,0.327519119,0.894880202,0.268440595,1.372402647,2.277969105,-12531.23557,-12457.01754,-12531.23557,2.12324E-53,2.28335E-29
PALM2,2.745523263,0.1,0.1,1.182806688,3.517151769,-5165.40116,-5091.510435,-5165.40116,6.0676E-235,3.14292E-29
TMED2,0.947538191,1.885175227,5.550679129,2.885700011,-0.904839269,-40386.53717,-40312.99481,-40386.53717,3.31191E-96,4.41685E-29
TXNDC5,-0.406797556,0.970064129,1.324130358,0.336066679,-1.900083015,-15474.12135,-15400.75301,-15474.12135,3.19401E-09,5.2262E-29
INA,4.748811606,0.1,1.368208913,3.647852534,1.373381877,-19220.24502,-19147.00025,-19220.24502,2.4941E-299,5.8837E-29
KCNJ3,1.27896876,0.198753167,0.1,0.792870116,2.889542712,-6317.345553,-6245.015866,-6317.345553,5.45188E-18,1.44613E-28
SERINC2,2.868622037,0.590645805,2.967835775,6.587862455,1.092092587,-35355.31187,-35283.39724,-35355.31187,2.4941E-299,2.17035E-28
PCBD1,0.613785642,2.580888016,2.475527952,4.790888533,0.934138121,-45627.05149,-45555.15338,-45627.05149,4.707E-187,2.19856E-28
ETNK1,1.603067036,0.892712192,1.462562778,3.549627349,1.244385411,-31223.05997,-31151.33739,-31223.05997,3.9585E-295,2.60534E-28
TRAM1,0.771506962,1.3513556,3.58973762,1.625446427,-1.104306408,-30366.708,-30295.53521,-30366.708,4.94611E-33,4.46564E-28
RAB29,2.931296003,0.1,1.377359867,0.341088329,-1.985077505,-7778.85116,-7708.404202,-7778.85116,2.3985E-277,9.07453E-28
GAS2L3,2.063893835,0.196540856,1.856484461,0.457024429,-1.87892222,-17578.73038,-17508.28019,-17578.73038,2.5508E-134,9.07453E-28
TXN,0.256166281,1.34195775,0.747677838,2.293527281,1.550830316,-24829.10295,-24758.73867,-24829.10295,6.62757E-21,9.81273E-28
STUM,2.060611511,0.1,0.1,0.703522778,2.784359906,-3572.825741,-3502.599857,-3572.825741,8.6378E-164,1.12102E-27
RPS6KA3,-0.695511579,0.991796022,1.572479478,0.314775534,-2.202829292,-14238.31635,-14168.37143,-14238.31635,7.81666E-33,1.47397E-27
APOB,2.437315264,0.305965155,7.121285223,0.234686975,-4.795794037,-4521.285779,-4451.754974,-4521.285779,2.2742E-111,2.20987E-27
NLRP1,4.412203065,0.180389253,2.789478837,5.420129098,0.938259334,-37043.88032,-36974.53939,-37043.88032,2.4941E-299,2.65604E-27
OSR2,0.319990923,0.1,0.1,0.236198258,1.042815459,-5402.244856,-5333.064225,-5402.244856,5.2242E-158,3.1006E-27
ZNF711,1.646418898,0.431044856,0.40845909,1.971488918,2.174800068,-12231.63633,-12162.61841,-12231.63633,1.94751E-71,3.62819E-27
INHBA,2.65249734,0.1,0.27866417,0.825416561,1.613165367,-10384.70542,-10315.83014,-10384.70542,2.4941E-299,4.14896E-27
STT3B,0.573663076,1.474161365,3.461507427,1.811284565,-0.915435736,-31976.20689,-31907.33154,-31976.20689,4.39887E-34,4.14896E-27
HTATSF1,2.783164217,0.42032129,2.381912981,4.298196791,0.808280145,-31161.6772,-31093.80903,-31161.6772,2.7304E-296,1.11588E-26
SYT7,5.382490539,0.1,6.412824378,2.946587888,-1.088131477,-31404.29254,-31336.55199,-31404.29254,2.4941E-299,1.26138E-26
ZNF503,0.53236455,0.503503922,0.339927723,1.445001666,1.924905892,-24118.074,-24050.44092,-24118.074,1.6885E-186,1.39782E-26
RBMX2,1.417100307,0.364593851,1.921679928,0.716822226,-1.377572544,-20704.67902,-20637.19194,-20704.67902,3.26968E-60,1.60896E-26
FXYD2,3.670895936,0.410068758,1.885566452,7.093307616,1.767097304,-10855.53921,-10788.16044,-10855.53921,2.4941E-299,1.78449E-26
ESRRG,0.858580814,0.1,0.432273922,0.1,-2.026812082,-5344.269144,-5276.931638,-5344.269144,6.13521E-72,1.85267E-26
NPY1R,2.213077161,0.1,0.1,0.963341752,3.058954285,-3569.139358,-3501.833057,-3569.139358,7.74052E-43,1.90449E-26
MCM5,-2.420969558,1.686143259,0.1,0.509066412,2.033940373,-7052.119077,-6985.173798,-7052.119077,2.0828E-210,2.70956E-26
IGF2,-2.644954482,200.794274,18.26440073,27.24085657,0.600587391,-96543.94054,-96477.5517,-96543.94054,2.4941E-299,4.67329E-26
S100A10,-2.393381683,4.204572006,0.216429306,1.042442626,2.135169105,-17289.1648,-17223.09215,-17289.1648,2.6333E-274,6.36122E-26
PTPRG,-1.270114404,0.486720483,0.566358152,0.1,-2.363994979,-9750.440084,-9685.185091,-9750.440084,3.21517E-98,1.41894E-25
NR3C1,6.189208733,0.1,14.05168516,4.637484863,-1.559558145,-20751.26191,-20686.12391,-20751.26191,2.4941E-299,1.58728E-25
MEIS1,-2.852234203,1.34354358,0.353747975,0.1,-1.829043941,-16192.11966,-16127.15743,-16192.11966,4.7659E-190,1.88141E-25
NEGR1,1.669903903,0.1,0.1,0.522126039,2.332801494,-9465.307255,-9400.384927,-9465.307255,8.1515E-263,1.95079E-25
DPP6,2.173229093,0.430023295,3.198364859,1.37845605,-1.119107367,-29246.70613,-29182.11841,-29246.70613,2.4941E-299,2.70384E-25
TMEM132B,3.51391526,0.1,2.408404502,0.462087135,-2.333782561,-9642.858013,-9578.481952,-9642.858013,5.339E-261,3.32021E-25
IGSF1,2.076631601,0.1,2.251985288,0.326967874,-2.689409575,-8668.003077,-8603.690934,-8668.003077,2.40999E-40,3.52509E-25
PDZRN3,3.327172135,0.1,0.461983934,1.854657811,1.857642793,-15007.23578,-14943.01742,-15007.23578,1.0182E-187,3.85435E-25
DLX5,0.482047983,0.1,0.1,0.260593684,1.287433384,-3961.186068,-3897.324339,-3961.186068,3.3383E-105,5.45919E-25
SHANK3,2.503414493,0.1,0.126555843,0.878021416,2.690501293,-11274.24525,-11210.53466,-11274.24525,1.4627E-142,6.31589E-25
ZPLD1,3.82214025,0.1,0.210077813,2.462914607,3.468464154,-2718.011266,-2654.669405,-2718.011266,1.8612E-262,9.05268E-25
SORCS2,0.489160795,0.156675047,0.1,0.448090882,2.152657915,-5846.769412,-5783.542084,-5846.769412,1.71943E-08,1.01026E-24
VEGFA,1.219369665,3.416605425,8.801931457,4.49066169,-0.938176776,-37386.77998,-37323.64901,-37386.77998,2.2518E-213,1.10745E-24
MID1IP1,2.207134063,0.28237975,1.388280638,2.101953145,0.574829066,-35720.01377,-35656.95441,-35720.01377,2.4941E-299,1.18479E-24
SPINK1,-7.292021156,157.3908604,0.394918883,1.213116214,1.38922955,-37949.92129,-37887.12354,-37949.92129,2.4941E-299,1.5282E-24
AACS,2.889848517,0.350224873,4.42773954,1.531702022,-1.429949548,-25495.95763,-25433.2813,-25495.95763,2.4941E-299,1.71706E-24
RPN1,1.07721107,1.151361806,3.746822949,1.672193362,-1.122599632,-29479.1933,-29416.66281,-29479.1933,1.58705E-51,1.97624E-24
SAT1,0.344797183,0.542270661,0.218346696,1.164300466,2.278806851,-14275.80354,-14213.27855,-14275.80354,2.17504E-11,1.98108E-24
TDO2,0,0.1,0.1,0.1,0,-8471.81319,-8409.349396,-8471.81319,2.4941E-299,2.09787E-24
CHRNA3,0.655480257,0.1,0.397306812,0.1,-1.873128534,-4345.610731,-4283.241703,-4345.610731,2.30799E-88,2.29618E-24
JARID2,-0.504194596,3.669328081,3.578753983,2.08600758,-0.770576883,-39864.83115,-39802.85189,-39864.83115,7.16713E-98,3.35987E-24
SYT4,1.13925989,0.1,0.437715054,0.1,-2.058019179,-15782.78596,-15721.60307,-15782.78596,2.4941E-299,7.33473E-24
PRKAR1B,1.224607098,0.842092951,0.748620022,2.402654466,1.615132785,-18725.94215,-18664.7903,-18725.94215,1.83323E-86,7.54016E-24
BRINP1,2.566665672,0.1,1.369401268,0.209049341,-2.629051432,-8403.800119,-8342.712861,-8403.800119,2.9341E-110,8.01156E-24
PSAP,0.029775046,3.645700709,5.049438714,2.889153167,-0.789799657,-38841.83654,-38780.76199,-38841.83654,1.16652E-30,8.08883E-24
SDK1,-0.090286666,0.426292789,0.838681528,0.152101375,-2.341513489,-10542.94852,-10482.00111,-10542.94852,0.051707195,9.14014E-24
DYRK2,1.156532997,0.369601047,0.466580283,1.550000165,1.636895842,-19239.63372,-19179.30752,-19239.63372,1.06957E-46,1.67924E-23
SLC2A1,4.060977468,0.143060591,5.73395999,2.665764409,-1.107808874,-29636.69696,-29577.00072,-29636.69696,2.4941E-299,3.1115E-23
SNX18,0.035053728,0.712214697,1.339603691,0.146769964,-3.034781441,-7205.259178,-7145.568625,-7205.259178,9.20748E-83,3.11997E-23
FAM13C,0.934192039,0.1,0.515552919,0.1,-2.262514171,-1583.737718,-1524.068855,-1583.737718,3.22595E-28,3.17813E-23
GCG,4.520204639,0.396692396,10.68256302,14.23461062,0.300864915,-49817.2264,-49757.70822,-49817.2264,2.4941E-299,3.67532E-23
KIAA1024,0.232848814,0.1,0.1,0.213878224,1.05828565,-5578.561316,-5519.188962,-5578.561316,9.8938E-108,4.23001E-23
DNAJC3,1.147968808,0.352282074,1.622867654,0.526417114,-1.580119386,-14863.69605,-14804.66039,-14863.69605,3.01301E-36,5.87364E-23
C3orf58,0.108002715,0.510180659,0.128020083,1.041951039,2.817574236,-11747.55802,-11688.59348,-11747.55802,4.45135E-09,6.28129E-23
CADM2,1.487613819,0.1,0.1,0.522042086,2.233838006,-12102.40269,-12043.44923,-12102.40269,2.4941E-299,6.3322E-23
MMRN1,0.098581133,0.1,0.253850122,0.1,-1.297559225,-2370.905772,-2312.003148,-2370.905772,5.57355E-54,6.63809E-23
NOSTRIN,1.909281509,0.1,1.414470206,0.1,-3.580140095,-1829.56748,-1770.817129,-1829.56748,3.07312E-49,7.68867E-23
