Gene Symbol,"log2 fold-change Start vs. end of PDT trajectory","expression (tpm) at pseudotime 0","expression (tpm) at pseudotime 1","log likelihood of GLM model with pseudotime","log likelihood of GLM model without pseudotime","FDR corrected q-value from likelihood ratio test"
RINL,0,10,10,-488.7624331,-490.7201739,0.378612592
CSTF2T,-0.226599826,40.42272412,33.08844332,-5603.729444,-5605.686634,0.378746328
PPP1R9B,-0.663434298,26.78026591,16.1912711,-3667.154025,-3669.110854,0.378820893
CXCL1,0,10,10,-262.7142571,-264.6706018,0.378933935
CDC37L1,0.321063494,37.88416662,47.97453597,-5771.969506,-5773.92544,0.379024224
ZNF784,0.405994224,10,14.01436082,-1777.785619,-1779.740821,0.379214485
HMGXB3,-0.116731453,21.10474847,18.96457965,-4082.729898,-4084.684888,0.379242862
KCNC4,-0.171918237,41.25740099,36.44507783,-6021.417743,-6023.372373,0.379284571
SETD3,0.321324331,45.77369507,59.33128552,-7545.31732,-7547.271932,0.379284571
DDX25,0.171572494,21.34254375,25.18794743,-4002.864224,-4004.818312,0.379372071
ZNF654,-0.069503381,44.37948821,42.34927764,-6747.147599,-6749.101752,0.379372071
PSPN,0.038175755,10,10.69980588,-1602.230677,-1604.184599,0.37938587
ABHD10,0,10,10,-1032.753469,-1034.704818,0.380113932
REPS1,0.10973546,30.64530592,34.2685032,-5197.62744,-5199.578861,0.380113932
FAM214B,-0.334320761,19.51394883,15.09172381,-3625.846765,-3627.797783,0.380163316
TIMP4,0,10,10,-828.7158021,-830.6667496,0.380163316
SNAI1,0,10,10,-155.0384453,-156.9886196,0.380367125
GLCE,0,10,10,-1637.746445,-1639.695785,0.380590037
C16orf70,-0.560303915,25.16735612,16.61074697,-3133.527215,-3135.475339,0.380932947
TNFRSF6B,0.175766029,10,11.12793931,-2062.468568,-2064.416385,0.380990908
KIAA0930,-0.280977323,89.34568925,72.48704549,-9164.296294,-9166.242295,0.381522388
CPSF7,-0.14832407,111.6307969,99.27012522,-12478.80743,-12480.75297,0.381629324
VPS37B,-0.336894623,32.09786373,24.8399885,-4970.735669,-4972.679472,0.382135967
DECR2,-0.68120115,26.95950163,16.05104239,-3497.941855,-3499.885153,0.382180081
FGF17,0,10,10,-280.7045903,-282.6481133,0.382180081
FOXA3,0.140771972,47.86712613,52.36650431,-6599.299048,-6601.24236,0.382180081
ITPA,-0.401077853,18.20349857,13.37867336,-3264.970143,-3266.9122,0.382531935
GDAP2,-0.246069301,14.24216508,11.75809832,-2825.235576,-2827.176392,0.382884318
CACNG1,0,10,10,-182.8053967,-184.7460309,0.382903154
PEA15,-0.208456683,29.32691229,24.34523726,-3898.995031,-3900.935042,0.383022834
TSTD2,-0.324077454,38.02743307,29.86998073,-5424.610476,-5426.5505,0.383022834
NTHL1,0,10,10,-1923.782468,-1925.721232,0.383377111
CD302,-0.187327174,23.21594336,19.40473604,-3409.863917,-3411.802274,0.383467239
CFAP53,0,10,10,-213.8146142,-215.7526863,0.383518604
ELOC,0.244078861,85.3973538,102.6442992,-11329.95338,-11331.89096,0.383610517
YTHDC1,0.1206465,83.07514677,92.28735729,-9856.086024,-9858.023561,0.383610517
PTPN23,0.04793184,110.2368472,112.6343512,-12026.56317,-12028.50004,0.38370785
RGPD1,0,10,10,-119.1090333,-121.0459437,0.38370785
ZNF808,0,10,10,-813.8009706,-815.7378907,0.38370785
MEA1,-0.031356644,144.7011074,140.6843319,-13160.60904,-13162.5454,0.383819535
MFAP1,-0.632419444,25.75545197,15.74956312,-3234.350125,-3236.286392,0.383819535
NEK1,0.432178074,30.4524266,42.11144067,-5696.470016,-5698.404594,0.384313781
TFB1M,0,10,10,-1577.054899,-1578.988088,0.384714595
TMEM150A,0.067353964,10.64468076,11.11008217,-2480.139177,-2482.071604,0.384917188
MANBAL,0.324843526,24.91789025,32.4118572,-5132.068736,-5134.001016,0.38492504
ARPC5,-0.165965227,203.9942131,180.992937,-16862.77501,-16864.70616,0.385243844
ZNF253,-0.181710355,11.27634936,10,-1951.026879,-1952.957668,0.385319801
RTFDC1,0.295641007,54.45009275,69.08975371,-7715.543978,-7717.474313,0.385425018
FBXO30,0.350299437,48.4588469,62.71017704,-7252.50882,-7254.438621,0.385555835
LHFPL5,0,10,10,-111.6053735,-113.5338176,0.385947135
NT5C,-0.676011157,18.58213389,10.84577004,-2999.901296,-3001.829435,0.386005433
ARCN1,0.094424094,137.5544815,149.9689872,-14325.3752,-14327.302,0.386353885
LACC1,0,10,10,-1855.931309,-1857.858106,0.386353885
DPH3,0.291655814,47.36092074,59.17404356,-7851.995492,-7853.922003,0.386406014
DNAH14,-0.09343784,18.96951397,17.78002128,-3794.827259,-3796.753365,0.386496077
UVRAG,0.170279289,62.90443755,72.89025261,-8788.289598,-8790.21505,0.386664995
C4orf36,0,10,10,-135.544485,-137.4691602,0.386835102
WDR59,0.088921591,81.06813525,85.35876948,-10306.86064,-10308.78531,0.386835102
ZBTB42,-0.224412043,12.54557454,10.97633982,-2004.547731,-2006.471595,0.387053554
SLC35D2,-0.472040438,57.15530155,39.68693284,-6615.874341,-6617.798056,0.387062552
PPIAL4E,0.086555692,79.99992314,84.02871385,-10055.25558,-10057.17875,0.387196937
DDX1,0.27077119,114.7848916,142.0038182,-13480.91568,-13482.83803,0.387417402
SELENOF,0.245096531,136.1817022,164.0112913,-14545.87493,-14547.79654,0.3876154
PRPF39,-0.124091166,20.69670315,19.46867777,-3256.440984,-3258.361757,0.387843879
KIF12,0.453164327,29.41919282,41.13855814,-5535.942678,-5537.86317,0.387894398
NECAB3,-0.107082156,10.56899513,10,-2158.18807,-2160.107792,0.388022669
PDSS2,-0.325448695,16.0685638,12.91920551,-2887.350853,-2889.270457,0.388022669
RPS6KA4,0,10,10,-1165.13576,-1167.055461,0.388022669
ZNF302,0.018946278,46.98674484,47.18736919,-7280.551898,-7282.471833,0.388022669
NICN1,0,10,10,-748.1693766,-750.0882996,0.388162105
PENK,0,10,10,-193.2659275,-195.1849684,0.388162105
MAP3K9,-0.417267068,23.12483312,16.86456879,-3888.000481,-3889.918767,0.388326435
CBR4,0.012733255,68.06879232,69.49246403,-9444.134601,-9446.05185,0.388618296
ITFG2,-0.148850558,14.0538753,12.94514453,-2779.804473,-2781.721288,0.388717806
TBCCD1,0,10,10,-973.4782277,-975.3934174,0.389197965
PIGN,-0.071035142,16.77905514,15.8721464,-3506.231551,-3508.146606,0.389202258
GLOD5,0,10,10,-116.4304211,-118.345089,0.389254916
TCP11L2,0,10,10,-274.0329676,-275.9476149,0.389254916
ARHGAP20,0,10,10,-573.7250157,-575.6390563,0.389409951
ZNF699,0,10,10,-426.2559849,-428.1695774,0.389514308
THRB-IT1,0,10,10,-113.9031663,-115.8164174,0.389554001
VPS37C,-0.056563207,49.31036731,47.16446576,-6014.474323,-6016.387549,0.389554001
GADD45B,0,10,10,-246.4588878,-248.3710606,0.389851804
DTWD2,0,10,10,-1665.956457,-1667.867196,0.390219716
PKNOX2,0,10,10,-123.5154337,-125.4260592,0.390219716
WDR44,0,10,10,-2098.650791,-2100.561564,0.390219716
ZNF507,0.101027691,17.94819393,18.9976325,-3800.980313,-3802.89085,0.390219716
BDP1,-0.210608502,86.62367574,74.39541468,-10156.36038,-10158.2699,0.390506707
GORAB,-0.080150271,11.17173751,10,-1248.073663,-1249.982368,0.390728673
C8orf49,0,10,10,-233.8613759,-235.7698364,0.39076834
OSBPL7,0,10,10,-1165.436514,-1167.343529,0.391192901
BPHL,-0.21336361,17.96117297,15.74240908,-2778.249556,-2780.153877,0.39201886
BRD7,-0.299443224,102.1762216,81.41314131,-10416.10597,-10418.00933,0.392232712
SH3GL1,0.042128061,39.75266464,41.73718743,-6383.301227,-6385.204618,0.392232712
TPSG1,0,10,10,-155.3014452,-157.2046876,0.392232712
ZKSCAN8,0,10,10,-568.1483873,-570.0515579,0.392232712
ZNF77,0,10,10,-743.9979587,-745.9009196,0.392261123
ZNF775,-0.494352974,14.68581764,10.31414075,-2073.399748,-2075.30188,0.392488578
OPCML,-0.23066017,59.17079884,48.85058859,-6699.497278,-6701.397852,0.392951105
RGL2,-0.283496751,76.93807125,62.57249146,-9071.090414,-9072.990312,0.393124418
ZNF668,-0.196048661,14.25915048,12.56491231,-2400.22468,-2402.124473,0.393124418
AAMP,0.288290891,49.440626,61.52655828,-8010.818084,-8012.717044,0.393263604
C19orf12,-0.146007715,35.0192616,32.12890016,-5369.573758,-5371.472726,0.393263604
SMCR8,-0.164813147,28.78233569,24.88936069,-3896.981241,-3898.880118,0.393263604
TYK2,-0.37705927,57.92566649,43.01740809,-7297.289122,-7299.188162,0.393263604
ZNF81,0,10,10,-315.2997326,-317.1975459,0.393567295
OTOGL,0,10,10,-107.7021711,-109.5996524,0.393622005
PRRG4,0,10,10,-546.1442332,-548.0416345,0.393622005
C4orf33,0,10,10,-553.1691126,-555.0654805,0.393916295
CALHM2,0,10,10,-201.8553713,-203.7512457,0.394036457
NUDT17,0,10,10,-809.2596658,-811.1551517,0.394122773
MTERF2,0.227974092,10.15024826,11.92267459,-2483.899082,-2485.793921,0.394292377
THRA1/BTR,0,10,10,-121.6192504,-123.5139196,0.394308263
BCL3,0,10,10,-1393.910181,-1395.803894,0.394577849
ENHO,0.411347627,15.41149176,21.66912631,-3666.624826,-3668.517895,0.394747085
AXIN1,-0.601718992,25.32922038,16.17901943,-3622.335113,-3624.226694,0.395189035
CHML,0.167349574,10,11.8115533,-1697.25935,-1699.150778,0.395199257
MCPH1,-0.548391391,16.55304553,10.87549731,-2262.496809,-2264.386782,0.395631587
ETF1,0.073004156,104.4538237,111.1644845,-11222.98967,-11224.87922,0.395726724
WDR5B,0,10,10,-496.2454218,-498.1339456,0.396022499
MIF4GD,-0.447835163,13.9908824,10.27825139,-2180.782431,-2182.67006,0.396273458
MIR1282,0,10,10,-778.2861501,-780.1733338,0.396378595
ZDBF2,-0.256459066,19.82002343,16.56072821,-3679.968003,-3681.855024,0.396392216
DOCK2,0,10,10,-119.6261891,-121.512699,0.396479388
IGSF22,0,10,10,-324.8235779,-326.7101655,0.396479388
PPM1B,-0.276422647,98.07693741,79.67759801,-10719.69391,-10721.58004,0.396560897
GALNS,0,10,10,-601.4682931,-603.3537969,0.396727355
BRAP,0.674914844,13.76060254,23.48500133,-3030.463388,-3032.348729,0.396731362
TMA16,-0.078136258,11.57236889,11.22925326,-2277.292004,-2279.177253,0.396731362
AFF2,0,10,10,-659.6692193,-661.5541589,0.396792639
CDNF,0,10,10,-181.2880251,-183.1725766,0.39684007
UBFD1,-0.211495797,210.3891095,177.7129681,-16898.16929,-16900.0539,0.39684007
PRSS27,0,10,10,-906.0620629,-907.9463991,0.396870697
MOSPD2,-0.007187913,42.43683334,41.23015915,-6093.241036,-6095.124587,0.397086587
CDK5,-0.041130968,53.39723388,52.89976657,-7378.723216,-7380.606502,0.397094196
IKBKG,-0.381860904,31.29965176,23.57834732,-3776.462944,-3778.3463,0.397094196
DMWD,-0.334111909,72.38354875,56.06433562,-8650.844007,-8652.725314,0.397671617
HDDC2,0.327047362,51.78147431,67.52515409,-7461.651945,-7463.532962,0.397671617
MME,0,10,10,-493.1633369,-495.0442783,0.397671617
RNF144B,0,10,10,-726.4575938,-728.3384985,0.397671617
WFDC10A,0,10,10,-165.5503327,-167.4315602,0.397671617
NDST1,-0.180487499,84.83341364,73.86003444,-10563.98708,-10565.86689,0.39798983
DPP9,-0.03851572,29.51089414,29.19495727,-5104.020138,-5105.899709,0.398019426
KCNJ4,0,10,10,-491.2615843,-493.1409857,0.398019426
ZNF33A,0.33996422,10.88946926,13.64539344,-2560.69377,-2562.573122,0.398019426
IFI35,0,10,10,-873.7549429,-875.6337489,0.398157969
NUMB,0.127615294,28.50631577,30.7891807,-5035.601571,-5037.478689,0.39866879
YAF2,0.284328464,32.46977889,39.85188176,-5878.565012,-5880.441965,0.398682869
PNPLA4,-0.098265833,31.82510232,29.72520456,-4007.223062,-4009.099199,0.39890995
ZNF555,0,10,10,-1035.615134,-1037.490975,0.398966836
FES,0,10,10,-784.1195978,-785.9948994,0.39902457
SLC16A7,0,10,10,-1119.595214,-1121.470718,0.39902457
SMPD2,0,10,10,-908.5361137,-910.4114345,0.39902457
MARVELD3,-0.776702719,19.50187864,10.81759931,-2417.688382,-2419.563204,0.399141846
MAPRE3,0.203643831,96.03489299,113.7841923,-11918.10822,-11919.9828,0.399154227
RAB30,-0.252380687,33.74883228,28.40165923,-4899.106885,-4900.981427,0.399154227
CLSTN3,-0.126256063,154.6233931,141.0503642,-15249.10631,-15250.98029,0.399297729
ZNF749,0,10,10,-370.1841986,-372.0574138,0.39950844
ACSL3,0.192456165,69.47050175,81.57070052,-9687.59847,-9689.471125,0.399652231
TMEM107,-0.059119363,22.1457814,21.80455456,-3821.93122,-3823.803432,0.399720203
ZNF706,-0.031160631,171.9212748,169.147462,-15115.67667,-15117.54887,0.399720203
CCDC142,0,10,10,-134.9127152,-136.7845662,0.399780038
PI15,0,10,10,-881.8475796,-883.7193597,0.399780038
C9orf163,0,10,10,-192.0079025,-193.8791809,0.399865059
MTMR3,0.258260765,54.03316734,64.91567772,-8010.421642,-8012.292977,0.399865059
SCN1A,0,10,10,-584.6249995,-586.4960533,0.399899032
C2CD2,0,10,10,-481.9910791,-483.861795,0.399930514
RAB5B,-0.158489943,114.8730476,102.2594447,-12439.72575,-12441.59651,0.399930514
SHPK,0,10,10,-1238.967572,-1240.838152,0.399935503
ABLIM2,0.492100675,24.70036123,36.56179272,-4473.16389,-4475.03357,0.399993003
ASCC3,0.466084678,36.7492819,52.47969515,-6328.999438,-6330.869209,0.399993003
IFT81,-0.372652157,30.85212288,23.54628986,-4204.659854,-4206.529534,0.399993003
KIAA0040,0,10,10,-321.3668404,-323.2370849,0.399993003
MRPS18C,0.093306293,22.73901994,25.19779598,-4086.378489,-4088.248587,0.399993003
SLC22A18,0,10,10,-1142.103236,-1143.973224,0.399993003
RELT,0,10,10,-322.8774947,-324.7468347,0.400064737
PPIL2,-0.396671561,24.41027807,18.06511307,-4103.16052,-4105.029501,0.400142595
GLYATL2,0,10,10,-287.6095332,-289.4782944,0.400175103
POLM,0,10,10,-1249.351278,-1251.219752,0.400229748
C8orf44,-0.106878474,11.22490675,10,-1760.123194,-1761.991273,0.400319384
DNAJC7,0.198131533,65.37865633,77.13936269,-9578.429505,-9580.29675,0.400552846
CAMSAP2,0.160213373,31.52758405,35.07337264,-5624.684826,-5626.551188,0.400771843
SLC46A3,0,10,10,-435.4849272,-437.3512621,0.400771843
FOSL1,0,10,10,-580.0387733,-581.9047483,0.400775733
MTSS1,0.161737163,140.3633107,158.6171601,-15266.56283,-15268.42873,0.400775733
NANP,0.111470727,10,11.23405582,-1444.939882,-1446.805723,0.400775733
RMND5B,-0.339703338,46.47689858,36.20083669,-5342.13322,-5343.99918,0.400775733
DAD1,0.127671597,100.9185703,109.8032394,-11762.79401,-11764.65905,0.400999516
PELO,0.26989337,25.66495103,30.81687971,-4581.150792,-4583.015662,0.401014912
GSPT2,0.170392065,51.39609662,58.0707437,-7797.064191,-7798.928746,0.401078685
CAPN6,0,10,10,-82.01303189,-83.87696496,0.401202002
EXO5,0,10,10,-837.9635408,-839.8272368,0.401202002
LYRM7,0,10,10,-1863.278964,-1865.14288,0.401202002
TMED7,-0.049840497,152.7536544,146.118917,-15290.12725,-15291.991,0.401202002
ACER3,0.099078763,22.66133401,24.50626981,-4417.567839,-4419.431187,0.401276615
RIMS4,0.164945133,32.33677876,35.80956959,-5404.908419,-5406.770939,0.401508663
NMNAT1,-0.075853231,10.89894215,10,-1487.44056,-1489.302765,0.401572161
BCL2L11,-0.301423828,12.22548932,10,-2074.783965,-2076.645595,0.401702451
DNAL4,-0.026944665,55.1372458,54.71035635,-6496.821633,-6498.68308,0.401702451
TAP2,0,10,10,-853.5400006,-855.4014854,0.401702451
IGSF11,0,10,10,-425.9464262,-427.8066073,0.402078496
C18orf21,0.534774329,17.01459439,25.25561329,-3292.432185,-3294.29145,0.402339704
TSNAXIP1,0,10,10,-369.3772812,-371.236022,0.402472542
KAT2A,-0.41019285,31.86472029,23.64562362,-4337.156026,-4339.014441,0.402500457
NUAK1,0,10,10,-1254.46651,-1256.324957,0.402500457
AGBL2,0,10,10,-270.6623597,-272.5201881,0.402653746
GOLGA8A,-0.577606106,14.98253802,10,-2568.140182,-2569.997633,0.402659054
NAT6,0,10,10,-1105.722084,-1107.579596,0.402659054
ZC3H12C,-0.400498048,22.40943922,16.45566331,-3683.473701,-3685.331174,0.402659054
ABHD6,0.086783573,10,10.74915938,-1734.528225,-1736.384837,0.402895342
ZNF625,-0.21440435,11.60528421,10,-2139.330277,-2141.186717,0.40291214
DCAF6,0.441587658,36.21223746,50.45544342,-6107.675169,-6109.530703,0.403091666
DCTN2,-0.044713773,195.2804681,188.549503,-16611.7551,-16613.61072,0.403091666
TTC19,-0.259828587,81.29913786,66.79152119,-8657.142705,-8658.998329,0.403091666
UBE3A,-0.026662647,167.4714336,166.2003539,-15535.47832,-15537.33362,0.403130269
MCM5,0,10,10,-691.8881583,-693.741149,0.403850072
GTF2F2,0.280907949,22.06381208,28.14735326,-3818.048099,-3819.90055,0.403988355
CLDN1,0,10,10,-506.2253605,-508.0775402,0.404038082
CCDC85A,0,10,10,-401.2672324,-403.1190759,0.404109326
FAM234A,-0.424849745,63.82857922,45.73561068,-7415.794581,-7417.646273,0.404119706
MRPL54,0.428918616,16.08591551,21.81214488,-3117.065885,-3118.916962,0.404264948
PLEKHA3,0.435256164,37.65436085,52.24759641,-6268.103902,-6269.954913,0.404264948
C9orf40,0,10,10,-1571.296757,-1573.147337,0.404292562
ELMOD3,0,10,10,-1849.54772,-1851.398046,0.404292562
HECA,0,10,10,-1294.208893,-1296.059305,0.404292562
SHARPIN,-0.618130025,24.77581169,15.32259643,-2983.313572,-2985.164251,0.404292562
ZNF189,-0.50698507,24.62796419,16.98847689,-3715.02071,-3716.871248,0.404292562
BNIPL,0,10,10,-169.8640651,-171.7137919,0.404410863
CDC25B,-0.278875151,14.12646609,10.9321881,-2475.729334,-2477.579163,0.404410863
CDC42SE2,0.294014448,73.36176869,92.21015668,-10277.73803,-10279.58748,0.404463283
CCDC58,0,10,10,-1087.838646,-1089.687591,0.404589593
CCDC173,0,10,10,-214.02206,-215.8706543,0.404665643
ACD,0.121332186,21.79721904,23.52760096,-3192.8318,-3194.679866,0.404800403
DDAH2,0.110034153,62.50892824,69.05333811,-8689.386213,-8691.233524,0.405009871
AIM2,0,10,10,-145.6373452,-147.4843508,0.405071319
CNIH1,-0.098442023,343.5643671,316.28714,-22161.26737,-22163.11383,0.405099566
HGSNAT,-0.687185952,27.90854393,16.37867672,-3623.184699,-3625.031196,0.405099566
PEX11G,0,10,10,-266.584877,-268.4311492,0.405099566
PRPF6,-0.044841959,68.38271865,66.15050965,-8243.150965,-8244.997722,0.405099566
RAB13,0.14737484,154.4953222,172.4300466,-14989.19365,-14991.03985,0.405099566
TP53BP2,-0.259155388,32.71122274,27.47836696,-4844.482314,-4846.328713,0.405099566
TNFAIP8,0,10,10,-420.8883084,-422.731844,0.405940859
TM2D3,0.123856259,96.77093752,108.0982855,-11206.11487,-11207.95773,0.406127284
SBF1,0,10,10,-1162.884181,-1164.72627,0.406340361
PRKAB1,0.491954454,11.8557908,17.88550648,-2933.808794,-2935.650512,0.406406644
ZGRF1,0,10,10,-583.1869295,-585.0285784,0.406406644
WDR83,0,10,10,-1355.16125,-1357.002213,0.406594223
CSNK2A2,0.037666731,55.36461873,57.89734269,-7070.353131,-7072.192559,0.407063645
ZNF747,-0.15876426,11.19949531,10,-1856.192292,-1858.03156,0.407076863
SLC22A23,-0.475051637,20.69218826,14.19814843,-3327.958942,-3329.797468,0.407283219
KCNJ11,-0.132641844,45.66736578,40.58407203,-6677.776844,-6679.614678,0.407473027
NFXL1,-0.520336869,16.93251328,11.16912245,-2907.424608,-2909.262171,0.407523332
MCM9,0,10,10,-1314.822317,-1316.659181,0.407715734
C10orf107,0,10,10,-900.6815539,-902.5171952,0.407938437
NELFE,-0.130677822,35.35590606,32.4146517,-4756.820691,-4758.656262,0.407938437
PRPF18,0.627555884,18.51679901,30.0328334,-4015.796575,-4017.632581,0.407938437
TCF7,0,10,10,-153.3350912,-155.1708811,0.407938437
TFB2M,-0.233637687,12.3486866,10,-1649.845975,-1651.681907,0.407938437
WDR6,-0.088698511,189.1852555,178.3363568,-17165.22952,-17167.06499,0.407938437
LIMCH1,0,10,10,-371.9398631,-373.7741234,0.408301953
ARMC12,0,10,10,-129.9339248,-131.7679523,0.408339478
SLC35G1,0,10,10,-1066.851549,-1068.685326,0.408382877
ENGASE,-0.249795809,11.93185592,10,-1998.590082,-2000.423203,0.408491268
IKZF5,0,10,10,-1783.627407,-1785.460328,0.408491268
PEX3,-0.567830633,15.57682835,10.34088238,-2495.297957,-2497.131045,0.408491268
RIOK2,-0.370085544,34.50328976,25.44960469,-5047.097642,-5048.930392,0.408491268
SNHG11,0.421126636,37.43985389,51.64137699,-5768.525411,-5770.358142,0.408491268
ZNF34,-0.231101916,12.11193556,10,-1852.089083,-1853.92221,0.408491268
SLC6A18,0,10,10,-340.8506204,-342.6828533,0.40857743
TMOD4,0,10,10,-172.5595362,-174.3917743,0.40857743
SDR42E2,0,10,10,-230.9820575,-232.8140157,0.408628938
SNORA25,0,10,10,-272.773143,-274.6044041,0.408821151
MRTO4,0,10,10,-1131.588074,-1133.418935,0.408914426
ZNF91,-0.203428009,11.45840154,10,-2061.996346,-2063.826993,0.40894576
RGPD8,0,10,10,-957.9562753,-959.7862889,0.409116956
TMEM192,-0.006243286,33.84147137,34.62306051,-5076.770163,-5078.599772,0.409211821
DTWD1,0.01050757,10,10,-2003.488494,-2005.317843,0.409218778
FDX1,-0.022111402,48.50330105,48.80281035,-6666.02956,-6667.85901,0.409218778
PRICKLE3,0,10,10,-170.9623252,-172.7909548,0.409418476
NT5C2,0.178260787,74.78247141,84.61280993,-9194.273099,-9196.100471,0.409798177
TMEM144,0,10,10,-1345.191089,-1347.017614,0.410040884
PCDHGB6,0,10,10,-131.4921651,-133.3179028,0.410263697
BTN2A1,-0.37118802,15.52685646,11.97803591,-2827.785685,-2829.61089,0.410401636
MRPS11,-0.137864437,31.52766895,28.89172572,-5353.156371,-5354.980478,0.410608537
NLGN1,0,10,10,-607.3299497,-609.1544149,0.410608537
RBM43,0,10,10,-616.3217577,-618.1459079,0.410608537
WDR60,-0.526563506,14.86379844,10,-2363.612774,-2365.437063,0.410608537
LPAR1,0,10,10,-432.7858225,-434.6095976,0.410679335
FAM102B,0,10,10,-1614.824734,-1616.646609,0.411274818
NR1H2,0,10,10,-1131.942704,-1133.763826,0.411486872
LRRC24,0.075255278,10.1701772,10.78435755,-2322.897127,-2324.717772,0.411606503
HCST,0,10,10,-843.7582022,-845.5776934,0.411948496
IL15RA,0,10,10,-134.129092,-135.9484774,0.411948496
TUSC2,-0.398317636,36.67404077,27.45340651,-4837.09641,-4838.914993,0.412177402
OSBPL10,0.28051842,31.63812734,40.08481781,-5519.091245,-5520.908939,0.412395255
ZNF516,-0.293748544,62.90144542,50.82316985,-7830.749838,-7832.567571,0.412395255
ZFAND2B,0.434171379,10,14.23535809,-2095.65437,-2097.471523,0.412536636
VPS29,-0.025937374,127.2713903,125.8141488,-13366.61638,-13368.43331,0.412570131
MYOZ1,0.08114917,10,10.78385202,-1943.080246,-1944.897017,0.412584357
SERPINA6,0,10,10,-236.8380487,-238.6528299,0.413212653
ANAPC2,-0.310880513,12.54136041,10,-2289.194512,-2291.008938,0.413291991
ZNF445,-0.396738298,13.28311958,10,-2312.874058,-2314.688338,0.413300439
KSR1,0.22202855,16.67975177,20.06512029,-3697.671193,-3699.485154,0.413335264
RSBN1L,-0.091693583,50.37372799,47.44780733,-7398.204289,-7400.018227,0.413335264
ROGDI,-0.574040112,24.07823264,15.72845816,-3485.680157,-3487.49318,0.413562174
SPAG9,0.057403817,100.4802333,103.8493377,-12088.87026,-12090.68329,0.413562174
B9D2,0,10,10,-827.5125378,-829.3251076,0.413674523
MAP2K4,-0.247031943,123.2674776,102.6140183,-12159.22892,-12161.04035,0.41401761
GANC,-0.601979864,15.68062167,10,-2021.425745,-2023.235361,0.41458684
NACC2,0,10,10,-801.7021027,-803.5116045,0.41458684
CYB5R4,-0.633246426,17.38403442,10.89779445,-2640.787493,-2642.59679,0.414615489
TXK,0,10,10,-377.0294664,-378.8382214,0.414757899
TBC1D25,0.317439784,35.32009453,45.6513113,-5425.710749,-5427.518464,0.415068388
IRAK4,0,10,10,-319.3313127,-321.1381341,0.415329586
SPC25,0,10,10,-186.7330241,-188.5396954,0.41533938
ZNF319,-0.162932643,19.22357432,17.00400559,-2619.179689,-2620.986242,0.41533938
ZNF354B,0,10,10,-598.7637476,-600.5699854,0.415405451
KDSR,-0.31708932,43.94506746,33.67849701,-5842.211997,-5844.017157,0.415728987
LYPD1,0,10,10,-311.3235433,-313.1281871,0.415863104
MRPL55,0.268786072,26.25556373,32.95691953,-4423.872276,-4425.675741,0.416221237
SP1,-0.370341303,79.82342464,59.88879906,-8045.540235,-8047.342229,0.416678513
GPR143,0,10,10,-418.8027101,-420.6045577,0.416687642
SUSD1,0.034467116,10,10.04406599,-2326.623132,-2328.423836,0.417034311
WASF1,0.253316393,91.17496876,109.8601576,-11210.59125,-11212.39162,0.417106419
CEP57,0.058133977,58.39555292,60.82437603,-7186.131828,-7187.931947,0.417151439
LRRC75B,0,10,10,-495.1660669,-496.9659189,0.417201549
AGGF1,-0.407937326,42.73300993,30.89287398,-5070.817083,-5072.616621,0.417267363
NUP58,0.185869265,32.34359603,37.47177615,-6044.760975,-6046.560287,0.417303358
METTL26,-0.059996718,54.62778045,53.24230709,-6990.546855,-6992.345894,0.417328096
SUPT4H1,-0.041883848,118.0934674,113.733107,-11731.36702,-11733.16602,0.417328096
PIDD1,0,10,10,-1009.782513,-1011.581091,0.417430479
RARG,0,10,10,-187.1161711,-188.9134942,0.417745311
VPS52,-0.026075194,58.27070312,57.87441585,-8195.085853,-8196.88317,0.417745311
ZP2,0,10,10,-285.7518572,-287.5491491,0.417745311
GPC3,0,10,10,-696.6077318,-698.404308,0.417947623
ARMCX5,-0.3332577,33.03393466,24.90541229,-4464.979581,-4466.775522,0.418103577
CTU1,0.051393894,11.59972195,11.79394021,-1896.325689,-1898.121566,0.418103577
CTTN,-0.174246411,57.2657866,49.62823066,-8189.290937,-8191.086566,0.418147532
NRDE2,-0.034932649,36.19109018,36.18071552,-5495.25154,-5497.046811,0.418228579
IKBKAP,-0.208643982,70.25978561,60.51564611,-8826.130617,-8827.925467,0.418330926
SLC12A5,0,10,10,-935.534755,-937.327356,0.419054829
EIF3J,0.314158324,57.58934652,73.84828819,-8876.037868,-8877.830205,0.419063399
SENP8,0,10,10,-918.7376756,-920.5300978,0.419063399
DPH6,0,10,10,-827.7480389,-829.5400217,0.41914319
PRR15L,0.266075781,48.78566395,58.95567709,-7407.759665,-7409.550766,0.41940263
WASHC4,-0.24031063,32.99320351,27.54311829,-5546.471914,-5548.262758,0.419449527
SERPIND1,0,10,10,-658.808464,-660.5990682,0.419490445
AP4E1,0.116087574,10.38081944,11.66939786,-2209.660823,-2211.450746,0.419681623
ASTN1,0,10,10,-1391.787628,-1393.576437,0.42002092
FUBP3,0.100161371,93.14981912,102.1998991,-11300.34763,-11302.13565,0.42024844
ELL,-0.456656471,43.30768779,30.64161602,-5691.182198,-5692.969911,0.420313143
LHFPL1,0,10,10,-189.0345854,-190.8216561,0.420491281
NUP43,-0.430010815,28.46057924,20.86870929,-4125.606505,-4127.392686,0.420754432
SETD6,-0.512831472,38.77271064,25.79144741,-5149.581267,-5151.366421,0.42106412
